,브랜드명,중분류업종,창업비용(단위:천원),본사업력(년),본사부채비율(%),수익성,공정성,성장성,안정성
2741,막이오름,주점,112493,29,78,4,3,4,3
2742,맥베이커리,제과제빵,64930,15,168,5,3,3,4
2743,육개장터,한식,54500,6,-176,1,3,1,1
2744,막돼먹은막창,한식,47100,16,5,5,3,0,2
2745,그릴킹,기타 외식,44390,9,-48999,1,3,2,1
2746,철든놈익스프레스(철든놈EXP),한식,35633,6,979,1,3,3,5
2747,교수곱창,기타 외식,70970,7,15,5,3,1,2
2748,팔팔호프,주점,108800,3,31,1,3,0,2
2749,도꼬돈카츠,일식,93750,9,-183,1,3,2,1
2750,행님아,기타 외식,65470,13,99,1,3,1,3
2751,오마이치킨,치킨,35550,15,-159,3,3,1,1
2752,참토우,한식,102400,12,15,4,3,2,2
2753,프렌치메이드(French,제과제빵,90880,8,844,3,3,0,5
2754,청담동,주점,41800,11,-345,1,3,4,1
2755,한옥집김치찜,한식,164000,8,10429,1,3,5,5
2756,백참,한식,70212,6,180,5,3,5,4
2757,배달의떡볶이,분식,35100,5,355,3,3,4,5
2758,부비부비,주점,99242,11,-152,1,3,3,1
2759,포차왕안춘배,주점,67650,10,30,2,3,2,2
2760,육회먹은연어,한식,54700,8,-383,1,3,1,1
2761,생생낙지,한식,134780,18,32,4,3,3,2
2762,뮌헨아이스펍,주점,89700,13,309,3,3,5,4
2763,비어포차,주점,57550,8,-325,1,3,4,1
2764,생맥주가맛있데이,주점,182650,9,701,3,3,5,5
2765,돈페,기타 외식,337250,10,149,4,3,5,4
2766,돼지대첩,한식,115750,15,34,4,3,3,2
2767,블레스유커피,커피,112450,11,323,1,3,1,5
2768,팔각도,한식,103430,4,48,5,3,5,2
2769,띵크커피,커피,284000,12,-622,2,3,1,1
2770,솥뚜껑바베큐통닭,치킨,50950,5,56,4,3,3,3
2771,코푸플레이트,서양식,493900,12,-3564,1,3,4,1
2772,하나샤브샤브,일식,169650,7,137,3,3,3,3
2773,주스탐,음료 (커피 외),72600,12,-142,1,3,1,1
2774,세븐몽키스,커피,189000,11,-168,1,3,4,1
2775,매드포커피(MAD,커피,86400,7,133,4,3,4,4
2776,우리둥지,분식,48200,7,399,3,3,3,5
2777,주시브로스,음료 (커피 외),189300,7,150,3,3,0,4
2778,두껍다회선생,일식,108150,8,73,5,3,2,3
2779,와촌식당,한식,111070,7,1473,2,3,2,5
2780,쭈꾸미본색,한식,75200,3,53,5,3,0,3
2781,꾸꾸치킨,치킨,75100,23,65,3,3,2,3
2782,나따오비까,기타 외식,115210,51,152,2,3,3,4
2783,샘물맥주,주점,66100,3,-12876,2,3,0,1
2784,로드스테이크,기타 외식,65250,9,26,2,3,2,2
2785,파머스티,한식,54105,10,30,5,3,5,2
2786,이태원천상,일식,239100,14,361,2,3,3,5
2787,애플틴,서양식,222800,17,275,2,3,3,4
2788,소메랑,기타 외식,54700,10,-353,1,3,4,1
2789,화사랑화로구이,한식,163950,12,447,2,3,4,5
2790,갱상도부산어묵,한식,49100,8,485,3,3,0,5
2791,제프리,커피,235450,9,-632,1,3,5,1
2792,김진호호떡,분식,52600,10,207,4,3,3,4
2793,그릭데이,기타 외식,62500,3,91,3,3,0,3
2794,이스팀(ESTEEM),커피,181000,9,169,3,3,3,4
2795,용문해장국,한식,87700,11,-194,2,3,2,1
2796,해도리포차,주점,54170,13,11,5,3,5,2
2797,채선당도시락&샐러드,기타 외식,78780,18,56,2,3,2,3
2798,피자엠,피자,56350,7,-125,1,3,0,1
2799,9라파,한식,58275,4,0,1,3,0,2
2800,두판닭갈비,한식,145750,3,588,2,3,0,5
2801,김재성의,한식,136785,10,32,5,3,4,2
2802,퓨처월드,주점,104950,22,-109,5,3,2,1
2803,비마이프렌드,커피,65800,15,35,5,3,5,2
2804,룸비,주점,227200,3,37,5,3,0,2
2805,오말짜비어,주점,46200,9,-63,2,3,1,1
2806,미미당,분식,81950,4,-199,1,3,5,1
2807,제주몬트락,한식,156300,8,198,3,3,1,4
2808,한제소곱창전골,한식,49250,4,930,5,3,4,5
2809,어자반(AZABAN),한식,54080,8,-395,1,3,0,1
2810,의령,한식,124600,14,66,5,3,2,3
2811,퍼틴(phothin),기타 외국식,88750,5,-5253,2,3,5,1
2812,자연식빵,제과제빵,79420,6,41,5,3,0,2
2813,펄스맥,기타 외식,149000,7,491,2,3,4,5
2814,그린하노이,기타 외국식,289700,11,172,4,3,3,4
2815,떡슐랭,분식,53350,4,-5368,2,3,5,1
2816,기대치,한식,128200,10,12,1,3,1,2
2817,크레이지후라이,주점,111505,9,1740,1,3,5,5
2818,해안식당,한식,151300,8,158,4,3,3,4
2819,남자마늘보쌈,한식,195850,10,273,3,3,3,4
2820,밀본,한식,98500,3,-296,1,3,0,1
2821,투윙닭강정,치킨,31000,26,267,3,3,2,4
2822,미스터톡톡(Mr,패스트푸드,51100,11,85,2,3,1,3
2823,대독장,한식,95950,5,132,1,3,3,3
2824,하와이코나사자커피,커피,72400,14,271,2,3,4,4
2825,민들레김밥,분식,52600,7,-121,1,3,0,1
2826,조선에서왔소,한식,79280,7,2,3,3,2,2
2827,고가뫼고쌈냉면,기타 외식,94050,9,1321,4,3,3,5
2828,츄로원오원,제과제빵,110100,9,145,2,3,1,4
2829,가내수공업,기타 외식,148403,11,4,5,3,4,2
2830,몽짬뽕,중식,92500,8,32,2,3,1,2
2831,족제소,한식,85774,4,-176,1,3,5,1
2832,연탄꽃삼겹,한식,101150,11,22,2,3,2,2
2833,데일리커피,커피,60640,4,-783,1,3,0,1
2834,다채움,한식,388400,12,230,3,3,2,4
2835,마포선장,한식,159550,3,802,2,3,0,5
2836,너티차일드,기타 외식,690900,11,90,1,3,1,3
2837,뽀쪼,아이스크림/빙수,103050,41,337,2,3,2,5
2838,따신국밥,한식,53950,3,-1416,1,3,0,1
2839,오페뜨,제과제빵,191830,15,-139,5,3,2,1
2840,갓츄러스?(got,제과제빵,69550,9,443,3,3,3,5
2841,오리엔탈스푼,기타 외국식,163900,13,-906,3,3,1,1
2842,명장복집&24시명장복국,한식,203500,11,2,5,3,2,2
2843,애마오리,한식,194020,17,-118,1,3,1,1
2844,아인방,서양식,439000,9,317,3,3,2,5
2845,바오밥,한식,88900,11,-291,1,3,4,1
2846,이승학돈까스,분식,107500,17,1897,1,3,1,5
2847,곱창폭식,기타 외식,91150,7,292,4,3,5,4
2848,정든밤,서양식,85800,4,22,3,3,3,2
2849,파리비엔남,기타 외식,76000,10,899,2,3,3,5
2850,치피떡,분식,32769,6,-132,1,3,5,1
2851,1LiTER,커피,62510,11,347,2,3,2,5
2852,카페온화,커피,243200,4,-511,1,3,5,1
2853,레드찜,한식,31260,12,27,5,3,5,2
2854,멘동,일식,120150,15,214,3,3,1,4
2855,커피기업,커피,92090,4,39,5,3,0,2
2856,이바돔강촌닭갈비,한식,108700,23,252,2,3,2,4
2857,방구족발,한식,70200,5,19,5,3,3,2
2858,빨간마초닭발,기타 외식,61300,6,10,5,3,4,2
2859,무라,일식,69100,8,40,5,3,1,2
2860,본비빔밥,기타 외식,78460,19,68,4,3,3,3
2861,박손녀의콩각시동태,한식,72850,8,41,3,3,1,2
2862,어부의,한식,144650,4,899,2,3,5,5
2863,일오닭갈비,한식,80300,7,-505,3,3,3,1
2864,술취한통골뱅이,기타 외식,53350,9,-177,1,3,1,1
2865,빙그루,아이스크림/빙수,132600,9,976,2,3,0,5
2866,육회이야기,주점,106080,3,-6233,2,3,0,1
2867,류아저씨의화동생갈비,한식,94300,9,-74863,2,3,2,1
2868,후루룩즉석,분식,48850,7,2,5,3,2,2
2869,지구상사,주점,189000,4,1137,3,3,4,5
2870,뉴욕샌드위치,기타 외식,57400,20,38,3,3,2,2
2871,여자커피,커피,40390,11,-169,1,3,1,1
2872,국시쿡시,한식,57220,11,1,3,3,1,2
2873,눈꽃찜닭,기타 외식,191720,8,21,4,3,1,2
2874,헤일리스커피,커피,75000,6,22,5,3,3,2
2875,고기한입,한식,105160,9,85,4,3,5,3
2876,케이커리루킹래징(cakery루킹래징),제과제빵,93000,23,-147,2,3,5,1
2877,드럼통통바베큐,치킨,90550,9,48,3,3,0,2
2878,돈카춘,일식,75700,3,3,5,3,0,2
2879,바비큐BOX,기타 외식,35250,4,68,5,3,3,3
2880,달인갈매기,기타 외식,65800,11,-152,1,3,3,1
2881,삼통령,기타 외식,98450,12,10,5,3,3,2
2882,더시카고짬뽕(THE,중식,140900,4,-362,1,3,5,1
2883,묘리,한식,72168,11,-753,4,3,4,1
2884,갱스터,치킨,13000,9,305,3,3,5,4
2885,반반스프링스,커피,84200,12,0,2,3,3,1
2886,평화김해뒷고기,한식,90760,3,51,4,3,0,2
2887,일월육일,일식,79320,6,-180,5,3,5,1
2888,수돈재,한식,77500,10,250,3,3,3,4
2889,초대창,기타 외식,181550,3,739,4,3,0,5
2890,이땔리면옥,서양식,41710,7,-674,1,3,4,1
2891,카츄마마,기타 외국식,227090,8,176,3,3,4,4
2892,씨밀락,분식,58980,20,227,5,3,4,4
2893,돈페,분식,337250,10,148,4,3,5,4
2894,전라도이야기,한식,0,3,7,1,3,0,2
2895,아이스빌,아이스크림/빙수,138100,8,-230,1,3,1,1
